,title,original_language,popularity,vote_count,vote_average
0,Spider-Man: No Way Home,en,12335.96,7356,8.4
1,The Ice Age Adventures of Buck Wild,en,3937.905,440,7.3
2,Eternals,en,4114.555,4110,7.2
3,Encanto,en,3954.072,4063,7.8
4,Hotel Transylvania: Transformania,en,3141.792,1600,7.6
5,The Jack in the Box: Awakening,en,2543.336,20,5.6
6,Ghostbusters: Afterlife,en,2671.325,1874,7.7
7,American Siege,en,2402.028,21,5.0
8,The Requin,en,3630.516,29,4.4
9,Sing 2,en,2152.788,1734,8.2
10,The Matrix Resurrections,en,1966.946,2809,6.8
11,One Shot,en,2018.801,225,6.7
12,Through My Window,es,3180.33,767,8.1
13,Last Man Down,en,1922.217,216,6.5
14,Resident Evil: Welcome to Raccoon City,en,1945.676,1144,6.2
15,The 355,en,3042.843,165,6.2
16,Venom: Let There Be Carnage,en,1853.264,6215,7.1
17,Red Notice,en,1968.805,2933,6.8
18,House of Gucci,en,1594.798,859,6.6
19,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,ja,1473.941,2120,8.4
20,The House,en,1292.118,295,7.1
21,Brazen,en,1294.972,189,4.8
22,Shang-Chi and the Legend of the Ten Rings,en,1291.158,5532,7.8
23,Mother/Android,en,1185.316,376,5.8
24,Dangerous,en,1108.078,133,6.6
25,Tom and Jerry: Cowboy Up!,en,1160.57,74,7.3
26,The Fallout,en,1175.192,90,7.5
27,Clifford the Big Red Dog,en,931.514,990,7.3
28,Chernobyl: Abyss,ru,862.532,292,6.3
29,Laura y el misterio del asesino inesperado,es,811.148,7,7.4
30,The Seven Deadly Sins: Cursed by Light,ja,937.835,294,8.0
31,Queen of Spades,en,844.128,25,6.4
32,Home Team,en,722.803,207,6.9
33,Antlers,en,749.13,467,6.4
34,Moonfall,en,805.422,43,6.4
35,Two,es,673.623,188,5.3
36,Mortal Kombat,en,714.42,4361,7.2
37,Survive the Game,en,672.199,92,5.8
38,Fortress,en,667.027,139,6.2
39,The Boss Baby: Family Business,en,675.987,1739,7.6
40,Free Guy,en,646.412,4863,7.7
41,Son,en,613.998,77,6.0
42,The Royal Treatment,en,599.055,280,6.8
43,Dune,en,656.149,5849,7.9
44,The Last Duel,en,593.687,1683,7.6
45,Finch,en,593.094,1942,8.1
46,Dark Spell,ru,525.477,73,6.8
47,No Time to Die,en,593.24,3400,7.5
48,Encounter,en,562.474,226,6.4
49,The Last Warrior: Root of Evil,ru,556.384,82,7.1
50,The Suicide Squad,en,561.01,5497,7.7
51,F9,en,537.323,4945,7.3
52,After We Fell,en,572.014,1463,7.2
53,Meander,fr,500.68,203,6.1
54,Sooryavanshi,hi,498.235,82,5.9
55,Luca,en,569.72,5711,8.0
56,Riverdance: The Animated Adventure,en,581.334,23,5.6
57,The Simpsons in Plusaversary,en,529.55,234,6.6
58,Paranormal Activity: Next of Kin,en,455.779,260,6.6
59,The Amazing Spider-Man,en,485.281,14420,6.7
60,Diary of a Wimpy Kid,en,498.638,162,6.7
61,Ron's Gone Wrong,en,516.462,835,8.2
62,Deathstroke: Knights & Dragons - The Movie,en,481.934,319,6.9
63,Black Widow,en,488.316,6924,7.5
64,PAW Patrol: The Movie,en,509.385,821,7.5
65,Avengers: Infinity War,en,465.274,23854,8.3
66,Time Is Up,en,476.288,204,6.3
67,Jungle Cruise,en,461.643,3907,7.6
68,Mobile Suit Gundam Hathaway,ja,463.346,74,7.9
69,Apex,en,443.093,372,5.5
70,Gone Mom: The Disappearance of Jennifer Dulos,en,415.744,90,7.9
71,Cruella,en,450.502,6517,8.2
72,Wild Indian,en,463.068,19,6.7
73,Tarumama,es,368.11,18,5.2
74,Seal Team,en,401.348,107,7.1
75,Munich: The Edge of War,en,382.702,197,6.9
76,Ida Red,en,417.488,23,6.2
77,Scream,en,472.076,451,7.2
78,Misfit #EresOTeHaces,es,382.815,132,8.1
79,The King's Man,en,470.655,465,6.8
80,The Deep House,en,390.894,485,6.5
81,Amina,en,392.812,79,6.5
82,The Whole Truth,th,365.248,101,6.5
83,Sator,en,373.982,63,5.5
84,Back to the Outback,en,409.17,289,7.8
85,Snake Eyes: G.I. Joe Origins,en,372.604,988,6.8
86,Ciao Alberto,en,380.878,379,7.6
87,Avatar,en,391.84,24852,7.5
88,Zeros and Ones,en,381.22,108,5.4
89,Godzilla vs. Kong,en,403.504,7577,7.8
90,Harry Potter 20th Anniversary: Return to Hogwarts,en,401.27,926,8.2
91,My Hero Academia: Heroes Rising,ja,409.407,865,8.4
92,The Tomorrow War,en,390.324,5050,8.0
93,The Amazing Spider-Man 2,en,395.862,10627,6.5
94,The King's Daughter,en,368.419,231,7.6
95,Infinite,en,384.467,843,6.8
96,Zack Snyder's Justice League,en,418.364,7258,8.3
97,Don't Look Up,en,370.38,4379,7.3
98,The Addams Family 2,en,360.73,750,7.2
99,Wrath of Man,en,371.654,3252,7.8
100,Last Shoot Out,en,358.043,80,6.4
101,Dragon Fury,en,360.21,31,6.3
102,Jackass Forever,en,361.473,16,7.1
103,The Conjuring: The Devil Made Me Do It,en,341.466,4145,7.7
104,Dynasty Warriors,cn,366.027,78,6.6
105,Space Jam: A New Legacy,en,374.123,2858,7.1
106,Halloween Kills,en,329.174,1517,6.8
107,Ripper Untold,en,325.806,69,6.7
108,The Unholy,en,312.331,1526,6.8
109,Miraculous World: Shanghai – The Legend of Ladydragon,fr,349.461,403,8.0
110,Crazy Fist,zh,340.362,43,7.4
111,Nightmare Alley,en,381.134,529,7.2
112,"Miraculous World: New York, United HeroeZ",fr,340.836,855,8.3
113,This Is Not a Comedy,es,256.334,36,6.0
114,The Vault,en,297.604,539,7.1
115,Spider-Man: Far From Home,en,305.92,11969,7.5
116,Sinkhole,ko,329.262,36,7.1
117,Witch Hunt,en,310.661,126,7.1
118,The Avengers,en,323.661,26307,7.7
119,Knowing,en,319.14,4203,6.1
120,Phobias,en,294.074,25,5.4
121,Chief Daddy 2: Going for Broke,en,284.187,44,6.1
122,Uncharted,en,415.541,14,8.8
123,The Harder They Fall,en,324.867,570,6.7
124,Far From the Tree,en,292.844,157,8.1
125,Ava,fr,285.785,126,6.0
126,The Croods: A New Age,en,317.943,2835,7.6
127,Spider-Man: Homecoming,en,325.095,17994,7.4
128,Vicky and Her Mystery,fr,304.127,234,7.3
129,An Egg Rescue,es,307.788,289,8.1
130,After We Collided,en,321.032,4434,7.3
131,Trolls Holiday in Harmony,en,318.971,89,7.6
132,Raya and the Last Dragon,en,321.571,4927,8.1
133,Minnal Murali,ml,277.109,171,7.3
134,7 Prisoners,pt,299.848,197,7.1
135,Separation,en,269.981,122,5.8
136,Old,en,282.692,2166,6.6
137,Motherly,en,263.731,79,7.2
138,Army of Thieves,en,293.891,1117,6.9
139,Avengers: Endgame,en,301.37,20296,8.3
140,El Paseo 6,es,259.079,5,3.5
141,El club del paro,es,232.699,11,4.9
142,Catwoman: Hunted,en,334.382,14,6.2
143,Spider-Man 3,en,292.504,11215,6.3
144,Black Water: Abyss,en,279.956,308,5.1
145,My Father's Violin,tr,263.065,103,8.2
146,Harry Potter and the Philosopher's Stone,en,292.485,22046,7.9
147,Monster Hunter,en,271.59,2393,6.9
148,Matando Cabos 2: La Máscara del Máscara,es,429.781,65,7.8
149,Zone 414,en,280.207,142,5.4
150,Monster Pets: A Hotel Transylvania Short,en,258.754,288,7.5
151,Spider-Man,en,284.015,15182,7.2
152,A Quiet Place Part II,en,260.635,3865,7.6
153,Demonic,en,241.868,103,4.9
154,El amarre,es,240.648,52,7.2
155,My Hero Academia: World Heroes' Mission,ja,308.244,56,7.2
156,Don't Breathe 2,en,260.707,1431,7.5
157,Ava,en,259.532,1892,5.7
158,Last Night in Soho,en,245.082,1214,7.5
159,Narco Sub,en,256.827,156,6.7
160,Boruto: Naruto the Movie,ja,272.672,979,7.7
161,Naruto Shippuden the Movie,ja,282.303,408,7.2
162,The Last: Naruto the Movie,ja,279.438,1125,7.9
163,Wonder Woman 1984,en,261.913,6501,6.6
164,Seobok: Project Clone,ko,261.068,104,7.5
165,Mickey and Minnie Wish Upon a Christmas,en,266.6,65,7.0
166,Sonic the Hedgehog 2,en,264.946,0,0.0
167,After,en,273.51,6918,7.2
168,Gunpowder Milkshake,en,250.34,498,6.3
169,Cuidado con lo que deseas,es,227.899,13,4.6
170,Garota da Moto,pt,247.741,5,5.5
171,Jurassic Hunt,en,230.644,172,5.0
172,Dragon Ball Z: Resurrection 'F',ja,250.113,1327,6.8
173,Never Back Down: Revolt,en,251.783,42,6.7
174,My Hero Academia: Two Heroes,ja,269.862,726,8.0
175,Mutation on Mars,zh,255.883,21,6.4
176,Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,ja,283.617,4,5.6
177,Doctor Strange,en,243.88,18300,7.4
178,Tom & Jerry,en,247.44,1913,7.0
179,Spider-Man: Into the Spider-Verse,en,247.387,10786,8.4
180,Four to Dinner,it,231.664,145,6.2
181,American Badger,en,231.223,24,5.8
182,Cosmic Sin,en,245.281,408,4.2
183,Monster Family 2,en,231.428,22,7.7
184,The Stronghold,fr,226.391,623,7.6
185,Hacksaw Ridge,en,247.115,10530,8.2
186,"Yes, No, or Maybe Half?",ja,249.065,16,6.7
187,How I Became a Superhero,fr,238.072,341,6.2
188,Soul,en,225.219,7617,8.2
189,Swim,en,223.83,22,7.8
190,Harry Potter and the Chamber of Secrets,en,252.491,17771,7.7
191,Vanguard,zh,235.06,391,6.3
