,name,rating,company_type,location,old,emp,reviews
0,TCS,3.9,Public,"Mumbai,Maharashtra",54 years old,1 Lakh+ employees (India),(30.1k Reviews)
1,Accenture,4.0,Public,"Dublin,Dublin",33 years old,1 Lakh+ employees (India),(21.6k Reviews)
2,Cognizant,3.9,Private,"Teaneck,New Jersey",28 years old,1 Lakh+ employees (India),(19.8k Reviews)
3,ICICI Bank,4.0,Public,"Mumbai,Maharashtra",28 years old,50k-1 Lakh employees (India),(26.1k Reviews)
4,HDFC Bank,4.0,Public,"Mumbai,Maharashtra",28 years old,1 Lakh+ employees (India),(27.4k Reviews)
5,Wipro,3.8,Public,"Bangalore/Bengaluru,Karnataka",77 years old,1 Lakh+ employees (India),(18.3k Reviews)
6,Capgemini,3.7,Public,Paris,55 years old,1 Lakh+ employees (India),(15.1k Reviews)
7,HCL Technologies,3.8,Public,"Noida,Uttar Pradesh",46 years old,1 Lakh+ employees (India),(15.4k Reviews)
8,Infosys,3.9,Public,"Bangalore/Bengaluru,Karnataka",41 years old,1 Lakh+ employees (India),(18.9k Reviews)
9,Tech Mahindra,3.6,Public,"Pune,Maharashtra",36 years old,50k-1 Lakh employees (India),(15k Reviews)
10,Genpact,4.0,Private,"New York,New York",25 years old,50k-1 Lakh employees (India),(14.7k Reviews)
11,Axis Bank,3.8,Public,"Mumbai,Maharashtra",29 years old,50k-1 Lakh employees (India),(14.4k Reviews)
12,Vodafone Idea,4.2,Public,"Gandhinagar,Gujrat + 515 more",4 years old,10k-50k employees (India),(11.6k Reviews)
13,L&T,3.9,Public,"Mumbai,Maharashtra",84 years old,10k-50k employees (India),(22.6k Reviews)
14,Reliance jio,4.0,Public,"Navi Mumbai,Maharashtra",15 years old,10k-50k employees (India),(11.4k Reviews)
15,IBM,4.1,Public,New York,111 years old,50k-1 Lakh employees (India),(11.2k Reviews)
16,Concentrix Corpora...,4.1,Public,"Fremont,California + 54 more",39 years old,10k-50k employees (India),(10.8k Reviews)
17,Amazon,4.2,Private,"Seattle,Washington",28 years old,10k-50k employees (India),(10.2k Reviews)
18,HDB Financial Serv...,4.0,Private,"Ahmedabad,Gujrat",15 years old,1 Lakh+ employees (India),(9.9k Reviews)
19,Kotak Mahindra Ban...,3.9,Public,"Mumbai,Maharashtra",19 years old,10k-50k employees (India),(10.2k Reviews)
20,Teleperformance,3.6,Private,Paris,44 years old,50k-1 Lakh employees (India),(7.4k Reviews)
21,Tata Motors,4.1,Public,"Pune,Maharashtra + 348 more",77 years old,50k-1 Lakh employees (India),(7.4k Reviews)
22,Bharti Airtel,4.1,Public,"Gurgaon/Gurugram,Haryana",27 years old,5k-10k employees (India),(9.9k Reviews)
23,Reliance Industrie...,4.0,Public,"Navi Mumbai,Maharashtra",49 years old,1 Lakh+ employees (India),(29k Reviews)
24,Deloitte,3.9,Private,"New York,New York",177 years old,10k-50k employees (India),(6k Reviews)
25,Mahindra & Mahindr...,4.1,Public,"Mumbai,Maharashtra",77 years old,10k-50k employees (India),(15.1k Reviews)
26,IndusInd Bank,3.8,Public,"Gurgaon/Gurugram,Haryana + 471 more",28 years old,10k-50k employees (India),(5.2k Reviews)
27,Hinduja Global Sol...,3.9,Public,"Bangalore/Bengaluru,Karnataka",22 years old,10k-50k employees (India),(5k Reviews)
28,Reliance Retail,4.0,Private,"Navi Mumbai,Maharashtra",16 years old,1 Lakh+ employees (India),(9.2k Reviews)
29,WNS,3.7,Private,"Mumbai,Maharashtra",26 years old,10k-50k employees (India),(4.8k Reviews)
30,Samsung,4.1,Private,"Suwon-Si,Gyeonggi-Do",84 years old,50k-1 Lakh employees (India),(5.5k Reviews)
31,Maruti Suzuki,4.1,Public,"New Delhi,Delhi + 337 more",39 years old,10k-50k employees (India),(4.7k Reviews)
32,Indian Army,4.7,"New Delhi,Delhi + 255 more",127 years old,1 Lakh+ employees (India),,(4.6k Reviews)
33,DXC Technology,3.6,Public,Virginia,31 years old,10k-50k employees (India),(4.9k Reviews)
34,Infosys BPM,4.0,"Bangalore/Bengaluru,Karnataka + 34 more",20 years old,10k-50k employees (India),,(4.2k Reviews)
35,Ericsson,4.2,Private,"Kista,Stockholm",146 years old,10k-50k employees (India),(4.1k Reviews)
36,Ernst & Young,3.7,Private,London + 57 more,20 years old,50k-1 Lakh employees (India),(3.9k Reviews)
37,Bajaj Finserv,4.1,Public,Pune,15 years old,10k-50k employees (India),(10.3k Reviews)
38,HSBC,4.1,Private,"Pune,Maharashtra",20 years old,10k-50k employees (India),(4.1k Reviews)
39,Startek,3.6,"Mumbai,Maharashtra + 46 more",5 years old,1k-5k employees (India),,(3.8k Reviews)
40,Conneqt Business S...,3.8,"Mumbai,Maharashtra + 132 more",20 years old,10k-50k employees (India),,(3.8k Reviews)
41,Dr. Reddy's,4.2,Public,"Hyderabad/Secunderabad,Telangana",36 years old,10k-50k employees (India),(3.9k Reviews)
42,Jana Small Finance...,3.9,Public,"Bangalore/Bengaluru,Karnataka + 277 more",16 years old,10k-50k employees (India),(3.8k Reviews)
43,Cipla Pharmaceutic...,4.0,Public,"Mumbai,Maharashtra + 172 more",87 years old,10k-50k employees (India),(3.7k Reviews)
44,Sutherland Global ...,3.8,Private,"Pittsford,New York",36 years old,10k-50k employees (India),(3.9k Reviews)
45,ICICI Prudential L...,4.1,Public,"Mumbai,Maharashtra",22 years old,10k-50k employees (India),(3.6k Reviews)
46,Mphasis,3.7,Public,"Bangalore/Bengaluru,Karnataka + 36 more",22 years old,1k-5k employees (India),(3.5k Reviews)
47,Bajaj Allianz Life...,4.1,Private,Pune,21 years old,10k-50k employees (India),(3.5k Reviews)
48,IDFC FIRST Bank,3.8,Public,"Mumbai,Maharashtra + 272 more",4 years old,10k-50k employees (India),(3.4k Reviews)
49,Home Credit Financ...,4.2,Private,Gurugram + 94 more,10 years old,10k-50k employees (India),(3.4k Reviews)
